circuitid,circuit_image_url,first_gp,num_laps,length,distance,lap_record
9,"https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Great_Britain_Circuit.png.transform/7col-retina/image.png",1950,52,5.891k,306.198,"1:27.097"
11,"https://www.formula1.com/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Hungary_Circuit.png.transform/9col-retina/image.png",1986,70,4.381,306.63,"1:16.627"
